Product,Avg Demand,Std Dev,Total Demand,Safety Stock,Reorder Point,EOQ
536365,5.71,1.8,40,4,44,45
536366,6.0,0.0,12,0,42,24
536367,6.92,8.1,83,16,64,64
536368,3.75,1.5,15,3,29,27
536370,22.45,9.17,449,18,175,150
536372,6.0,0.0,12,0,42,24
536373,5.5,1.55,88,3,42,66
536375,5.5,1.55,88,3,42,66
536376,56.0,11.31,112,22,414,75
536377,6.0,0.0,12,0,42,24
536378,23.89,31.56,454,62,229,151
536381,5.66,8.32,198,16,56,99
536382,11.17,12.81,134,25,103,82
536384,14.62,16.39,190,32,134,97
536385,7.57,4.61,53,9,62,51
536386,78.67,36.95,236,72,623,109
536387,288.0,131.45,1440,257,2273,268
536388,7.71,4.53,108,9,63,73
536389,7.64,7.44,107,15,68,73
536390,65.33,62.85,1568,123,580,280
536392,10.3,6.8,103,13,85,72
536394,49.45,38.34,544,75,421,165
536395,18.57,15.18,260,30,160,114
536396,5.67,2.3,102,5,45,71
536397,30.0,25.46,60,50,260,55
536398,8.82,5.14,150,10,72,87
536399,6.0,0.0,12,0,42,24
536401,1.94,1.61,124,3,17,79
536402,38.67,2.31,116,5,276,76
536403,48.5,67.18,97,132,472,70
536404,15.64,6.73,438,13,122,148
536406,5.65,1.77,96,3,43,69
536407,6.0,0.0,12,0,42,24
536408,11.62,8.45,558,17,98,167
536409,2.98,5.14,173,10,31,93
536412,2.72,3.21,220,6,25,105
536415,3.86,2.65,228,5,32,107
536416,18.33,26.55,110,52,180,74
536420,7.93,3.43,111,7,62,74
536423,8.67,3.46,78,7,68,62
536425,8.06,3.85,137,8,64,83
536437,167.33,220.49,1004,432,1603,224
536446,10.28,10.75,329,21,93,128
536460,11.29,9.14,158,18,97,89
536464,1.88,1.64,160,3,16,89
536466,9.0,4.24,18,8,71,30
536477,76.43,125.78,1070,246,781,231
536488,2.06,2.3,72,5,19,60
536500,6.8,4.16,102,8,56,71
536502,7.8,6.02,39,12,67,44
536508,108.0,50.91,216,100,856,104
536514,23.6,16.99,118,33,198,77
536520,2.77,3.33,197,7,26,99
536522,1.59,1.62,86,3,14,66
536523,9.33,7.82,112,15,80,75
536524,6.0,0.0,24,0,42,35
536525,2.23,2.42,29,5,21,38
536526,10.44,5.81,94,11,84,69
536527,10.47,5.17,157,10,83,89
536528,2.18,2.26,124,4,19,79
536529,4.22,3.42,38,7,37,44
536530,3.13,4.98,72,10,32,60
536531,18.09,16.86,416,33,160,144
536532,25.37,16.97,1852,33,211,304
536533,13.33,18.37,80,36,129,63
536534,10.2,4.02,51,8,79,50
536535,5.92,6.44,71,13,54,60
536536,31.67,42.1,95,82,304,69
536537,12.55,12.04,138,24,112,83
536538,4.71,3.78,146,7,40,85
536539,5.93,4.4,160,9,50,89
536540,11.55,12.77,231,25,106,107
536542,24.5,9.02,392,18,190,140
536544,2.29,3.24,1208,6,22,246
536551,2.51,2.72,88,5,23,66
536555,1.0,0.0,2,0,7,10
536556,8.88,7.77,71,15,77,60
536557,3.06,5.1,199,10,31,100
536559,14.33,10.0,129,20,120,80
536560,19.69,25.53,256,50,188,113
536561,9.33,3.09,140,6,71,84
536562,5.5,3.73,99,7,46,70
536563,18.33,23.13,165,45,173,91
536564,6.0,2.83,12,6,48,24
536565,1.0,0.0,2,0,7,10
536566,15.5,11.1,93,22,130,68
536567,18.86,6.41,132,13,145,81
536569,2.31,3.14,155,6,22,88
536570,17.2,13.08,86,26,146,66
536571,15.78,14.04,284,27,137,119
536572,14.33,8.34,301,16,116,123
536573,34.0,27.42,136,54,292,82
